Accelerometer_x,Accelerometer_y,Accelerometer_z,Gyroscope_x,Gyroscope_y,Gyroscope_z,Magnetometer_x,Magnetometer_y,Magnetometer_z,Position
,,,,,,,,,
-0.02,-0.01,0.96,2.2,1.89,0.24,33.74,-0.96,-37.29,"Supine
"
,,,,,,,,,
-0.02,0,0.96,2.26,1.53,0.24,33.14,-1.25,-36.69,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.14,1.77,0.18,33.39,-1.04,-37.78,"Supine
"
,,,,,,,,,
-0.02,0,0.96,2.01,1.65,0.31,33.63,-1.56,-36.33,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.32,1.71,0.37,33.36,-0.83,-37.07,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.26,1.83,0.43,33.29,-0.4,-37.15,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.26,1.77,0.37,33.29,-0.78,-36.96,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.26,1.77,0.49,33.06,-0.54,-37.38,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.2,1.77,0.49,32.68,-0.98,-36.4,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.08,1.77,0.31,33.65,-0.43,-36.6,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.97,2.14,1.71,0.31,33.14,-0.55,-37.05,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.97,2.32,1.65,0.49,33.12,-0.82,-36.49,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.97,2.2,1.65,0.55,33.45,-0.87,-37.81,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.14,1.65,0.61,32.97,-0.9,-37.78,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.08,1.77,0.31,33.57,-1.09,-36.69,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.2,1.71,0.31,33.2,-0.48,-37.35,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.2,1.59,0.37,33.9,-0.89,-37.16,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.14,1.77,0.43,32.73,-0.62,-37.17,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.08,1.71,0.49,32.57,-0.73,-36.68,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.32,1.59,0.49,33,-0.72,-37.39,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.97,2.2,1.65,0.49,33.08,-0.38,-37.35,"Supine
"
,,,,,,,,,
-0.02,0,0.97,2.38,1.77,0.49,33.42,-0.81,-37.05,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.32,1.65,0.61,32.58,-1,-36.83,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.14,1.65,0.55,33.03,-0.62,-37,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.2,1.83,0.37,32.54,-0.74,-36.89,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.14,1.77,0.31,33.29,-1.05,-37.22,"Supine
"
,,,,,,,,,
-0.02,0,0.96,2.14,1.65,0.37,33.4,-1.06,-36.65,"Supine
"
,,,,,,,,,
-0.01,0,0.96,2.14,1.77,0.43,33.24,-1,-37.43,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.14,1.71,0.49,33.12,-0.81,-36.79,"Supine
"
,,,,,,,,,
-0.03,0,0.96,2.14,1.71,0.49,33.35,-0.43,-35.89,"Supine
"
,,,,,,,,,
-0.01,-0.01,0.96,2.14,1.65,0.49,32.97,-0.4,-36.23,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.14,1.83,0.43,33.11,-0.79,-36.61,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.2,1.83,0.43,33.12,-0.67,-37.23,"Supine
"
,,,,,,,,,
-0.01,-0.01,0.96,2.2,1.59,0.37,33.96,-0.9,-35.94,"Supine
"
,,,,,,,,,
-0.02,0,0.96,2.14,1.71,0.37,33.17,-0.79,-36.34,"Supine
"
,,,,,,,,,
-0.03,-0.01,0.96,2.2,1.71,0.43,33.29,-0.43,-36,"Supine
"
,,,,,,,,,
-0.01,0,0.96,2.26,1.59,0.43,33.34,-0.68,-36.76,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.2,1.65,0.43,33.04,-1.11,-35.85,"Supine
"
,,,,,,,,,
-0.03,-0.01,0.96,2.2,1.65,0.43,33.17,0.06,-36.62,"Supine
"
,,,,,,,,,
-0.02,0,0.96,2.08,1.65,0.31,33.19,-0.44,-36.76,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.2,1.59,0.31,33.01,-0.83,-35.9,"Supine
"
,,,,,,,,,
-0.03,0,0.96,2.2,1.89,0.37,32.35,-0.68,-37.78,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.26,1.83,0.37,33.3,-0.49,-36.95,"Supine
"
,,,,,,,,,
-0.02,0,0.96,2.01,1.71,0.43,33.22,0.18,-38.05,"Supine
"
,,,,,,,,,
-0.02,0,0.96,2.08,1.71,0.55,33.26,-0.55,-36.95,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.14,1.65,0.43,33.33,-0.42,-37.19,"Supine
"
,,,,,,,,,
-0.02,0,0.96,2.26,1.65,0.31,33.07,-0.74,-37.35,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.2,1.59,0.37,32.7,-0.68,-37.18,"Supine
"
,,,,,,,,,
-0.02,0,0.96,2.08,1.65,0.43,33.11,-0.31,-36.68,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.2,1.71,0.37,32.71,-0.74,-36.96,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.97,2.2,1.77,0.43,33.13,-0.52,-36.99,"Supine
"
,,,,,,,,,
-0.02,0,0.96,2.26,1.53,0.37,33.58,-1.17,-37.24,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.01,1.71,0.31,33.42,-0.96,-36.13,"Supine
"
,,,,,,,,,
-0.02,0,0.96,2.2,1.59,0.61,33.23,-0.4,-35.94,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.26,1.77,0.31,33.26,-0.68,-36.17,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.26,1.65,0.49,33.2,-0.48,-37.1,"Supine
"
,,,,,,,,,
-0.02,0,0.96,2.2,1.65,0.37,33.23,-0.77,-37.39,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.2,1.77,0.49,33.35,-0.9,-36.35,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.2,1.71,0.49,33.15,-0.61,-37.26,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.97,2.08,1.65,0.37,33.45,-0.9,-36.24,"Supine
"
,,,,,,,,,
-0.02,0,0.96,2.26,1.65,0.43,33.56,-0.74,-35.66,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.14,1.77,0.37,33.74,-1.05,-37.45,"Supine
"
,,,,,,,,,
-0.02,0,0.96,2.08,1.77,0.37,33.5,-0.87,-36.63,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.14,1.83,0.61,33.33,-1.09,-36.82,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.2,1.65,0.49,32.9,-1.32,-37.06,"Supine
"
,,,,,,,,,
-0.02,0,0.96,2.14,1.83,0.43,33.47,-0.95,-35.95,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.08,1.71,0.55,33.01,-0.65,-36.87,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.2,1.59,0.43,33.26,-0.85,-35.83,"Supine
"
,,,,,,,,,
-0.02,0,0.96,2.32,1.65,0.49,32.9,-1.06,-36.47,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.08,1.59,0.31,33.58,-1.33,-37.32,"Supine
"
,,,,,,,,,
-0.02,0,0.96,2.2,1.71,0.43,33.47,-1.17,-37.04,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.2,1.71,0.37,33.24,-0.88,-36.76,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.08,1.77,0.49,33.14,-1,-36.57,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.14,1.71,0.43,33.46,-0.66,-37.13,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.14,1.89,0.37,33.45,-1,-37.33,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.97,2.2,1.71,0.43,33.37,-0.77,-35.88,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.2,1.71,0.43,33.25,-1.06,-35.68,"Supine
"
,,,,,,,,,
-0.02,0,0.96,2.26,1.71,0.49,33.15,-1.05,-37.21,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.26,1.71,0.37,33,-0.83,-36.32,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.26,1.77,0.31,33.06,-1.15,-36.84,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.08,1.77,0.43,33.22,-0.46,-36.57,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.08,1.83,0.49,33.41,-0.88,-36.15,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.38,1.71,0.49,33.33,-0.83,-37.06,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.2,1.65,0.49,33.84,-1.07,-36.56,"Supine
"
,,,,,,,,,
-0.02,0,0.96,1.95,1.89,0.31,33.44,-1.09,-36.93,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.08,1.77,0.49,34.11,-0.7,-35.9,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.97,2.26,1.77,0.37,33.15,0.2,-36.8,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.97,2.08,1.71,0.55,33.28,-0.76,-35.56,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.97,2.26,1.77,0.61,33.73,-1,-36.15,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.08,1.65,0.43,33.8,-0.82,-35.78,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.26,1.59,0.31,33.2,-0.54,-36.19,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.2,1.77,0.43,33.34,-1.37,-35.85,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.2,1.71,0.43,32.82,-0.77,-37.05,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.38,1.71,0.31,33.96,-1.07,-36.24,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.38,1.83,0.31,33.33,-1.14,-36.67,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.38,1.71,0.49,33.95,-1.09,-36.45,"Supine
"
,,,,,,,,,
-0.02,0,0.96,2.2,1.65,0.37,33.76,-0.85,-35.84,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.14,1.83,0.49,33.81,-0.92,-36.28,"Supine
"
,,,,,,,,,
-0.02,0,0.97,2.32,1.83,0.49,33.92,-1.03,-35.44,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.2,1.77,0.43,33.04,-0.88,-36.47,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.2,1.71,0.43,32.97,-0.65,-36.17,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.2,1.59,0.37,33.64,-1.15,-36.52,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.08,1.77,0.37,32.75,-1.46,-35.9,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.14,1.77,0.43,33.26,-0.55,-36.1,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.08,1.71,0.43,33.2,-0.92,-37.27,"Supine
"
,,,,,,,,,
-0.04,0,1.02,1.65,1.46,0,33.62,-0.7,-36.45,"Supine
"
,,,,,,,,,
0,0.04,0.96,1.95,1.77,3.48,33.17,-1.11,-35.74,"Supine
"
,,,,,,,,,
-0.04,0,0.97,3.54,2.87,2.69,33.44,-0.49,-34.99,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.87,1.65,-2.81,33.5,-1.09,-36.87,"Supine
"
,,,,,,,,,
-0.05,0.01,1,0.55,14.34,7.39,33.84,-0.81,-37.39,"Supine
"
,,,,,,,,,
0.02,0,0.92,2.2,11.84,0.98,33.8,-1.29,-36.3,"Supine
"
,,,,,,,,,
0.07,-0.01,0.87,4.27,-12.63,-4.03,33.19,-0.57,-35.82,"Supine
"
,,,,,,,,,
-0.24,0.14,0.95,5.19,2.69,13.92,33.24,-0.78,-36.41,"Unknown
"
,,,,,,,,,
-0.38,-0.08,0.96,3.66,1.65,42.24,32.58,-0.72,-36.17,"Unknown
"
,,,,,,,,,
0.07,0.03,0.95,1.95,1.4,-4.09,32.52,-1.12,-36.71,"Supine
"
,,,,,,,,,
-0.25,0.11,0.96,2.38,0.85,0.79,32.14,-0.63,-36.73,"Unknown
"
,,,,,,,,,
0.16,-0.11,0.96,0.73,1.53,40.28,31.81,-1,-36.6,"Unknown
"
,,,,,,,,,
0.35,-0.05,0.53,97.66,9.16,-39,31.69,0.56,-37.28,"Unknown
"
,,,,,,,,,
-1.64,-0.29,1,1.59,1.71,-8.06,31.9,-1.51,-35.36,"Unknown
"
,,,,,,,,,
-0.22,-0.32,1.07,6.84,26.43,-61.95,32.79,-1.9,-35.94,"Unknown
"
,,,,,,,,,
0.29,-0.28,1.22,178.41,38.51,-154.24,33.97,5.55,-37.45,"Unknown
"
,,,,,,,,,
0.46,-0.1,1.27,94.36,29.24,-193.18,33.06,15.97,-36.84,"Unknown
"
,,,,,,,,,
0.58,-0.1,1.09,148.25,99.18,-177.98,28.64,27.5,-33.01,"Unknown
"
,,,,,,,,,
0.57,0.26,0.53,65.31,96.13,-233.09,18.03,34.01,-31.31,"Unknown
"
,,,,,,,,,
-0.1,-0.02,0.6,17.52,98.75,-279.85,2.65,26.61,-49,"Unknown
"
,,,,,,,,,
-0.3,0.25,0.62,-7.81,108.76,-277.47,28.81,8.68,-73.57,"Unknown
"
,,,,,,,,,
-0.76,0.02,0.94,-50.35,99.67,-208.56,50.54,12.78,-37.3,"Unknown
"
,,,,,,,,,
-0.49,-0.12,0.99,-46.51,117.19,-118.1,34.84,24.22,-15.87,"Unknown
"
,,,,,,,,,
-0.63,-1.62,1.73,-120.61,64.03,-8.36,21.22,31.62,-10.9,"Unknown
"
,,,,,,,,,
0.16,-0.86,2.61,-392.58,69.4,91.19,16.24,33.35,-18.2,"Unknown
"
,,,,,,,,,
0.26,-0.29,0.92,0.49,58.23,4.58,18.2,32.89,-19.63,"Unknown
"
,,,,,,,,,
0.16,0.17,1.03,-1.89,0.06,22.71,19.12,31.41,-17.16,"Unknown
"
,,,,,,,,,
0.09,-0.06,1.1,-1.95,11.05,-19.41,19.03,32.23,-17,"Supine
"
,,,,,,,,,
-0.33,-0.58,1.61,23.5,117.07,51.03,20.1,30.92,-15.59,"Unknown
"
,,,,,,,,,
0.15,-0.26,0.77,51.27,-26.92,230.83,23.82,26.93,-9.47,"Unknown
"
,,,,,,,,,
0.09,0.09,0.88,12.21,-147.71,84.9,22.58,25.77,1.98,"Side
"
,,,,,,,,,
0.03,0.17,1.01,8,6.77,97.96,20.56,30.46,14.67,"Side
"
,,,,,,,,,
0.05,0.09,0.88,2.32,15.38,15.99,20.3,28.91,24.21,"Side
"
,,,,,,,,,
